艾
爱
哀
怕 PA
拍 PAI
牌 PAI
排 PAI 
潘葛 PAN
泮 PAN
盘 PAN
盤 PAN
潘 PAN 
逢 PANG
庞 PANG
厐 PANG
胖 PANG
耪 PANG 
龐 PANG
咆 PAO
裴 PEI
佩吉 PEI
沛 PEI 
喷 PEN
湓 pen
盆 PEN
蓬 PENG
彭 PENG 
朋 PENG
鹏 PENG
邳 PI
皮 PI
甓 pi 
匹 PI
偏 PIAN
片 PIAN
骈 PIAN
飘 PIAO 
朴 PIAO
嫖 PIAO
品 PIN
平 PING
萍 PING 
婆 PO
坡 PO
攴 po
番 PO
繁 PO 
破六韩 PO
裒 POU
普陋茹 PU
普六茹 PU
普弥 PU 
菩提 PU
莆 PU
蒲姑 PU
谱 PU
溥 pu 
仆 PU
普 PU
濮 PU
蒲 PU
浦 PU 
仆散 PU
仆固 PU
扑 PU
濮阳 PU YANG 
欧阳 QI
祁 QI
戚 QI
漆 QI
祈 QI
奇 QI 
亓 QI
綦 QI
企 QI
期 QI
杞 QI 
岂 QI
棋 QI
岐 QI
锜 QI
启 QI 
七 QI
柒 QI
乞伏 QI
棨 QI
旗 QI 
乞 QI
起 QI
妻 QI
欺 QI
齐藤 QI 
旗木 QI
淇 QI
麒 qi
齐默特 QI
泣伏利 QI 
耆 qi
其格 QI
萋 QI
歧 QI
乞连 QI 
器 QI
綦毋 QI WU
漆雕 QI DIAO
莊 QIA
莮 QIA 
牵 QIAN
钤 QIAN
钳 QIAN
千金 QIAN
钱王 QIAN 
浅 QIAN
茜 qian
骞 QIAN
黔 QIAN
前 QIAN 
錢 QIAN
钱 QIAN
千 QIAN
乾 QIAN
谦 QIAN 
潜 QIAN
羌 QIANG
墙 QIANG
强 QIANG
强梁 QIANG 
侨 QIAO
樵 QIAO
喬 QIAO
乔 QIAO
桥 QIAO 
谯 QIAO
乔达摩 QIAO
伽 QIE
怯 QIE
郄 QIE 
妾 qie
客 QIE
茄 QIE
且末 QIE
且 QIE 
亓官 QIGUAN
